name,botanical_name,category,price,size_options,stock_status,product_url,data_source
Star Jasmine Bush,Trachelospermum jasminoides,Jasmine,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/star-jasmine/,site-capture-2026-06-21
Summer's Tower Redbud,Cercis canadensis 'JN7',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/summers-tower-redbud/,site-capture-2026-06-21
Sweet Bubba Desert Willow,Chilopsis linearis 'Sweet Bubba',Willow,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/sweet-bubba-desert-willow/,site-capture-2026-06-21
Taylor Juniper,Juniperus virginiana 'Taylor',Juniper,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/taylor-juniper/,site-capture-2026-06-21
Tex-Mex Redbud,Cercis canadensis var. 'Tex-Mex',Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/tex-mex-redbud/,site-capture-2026-06-21
Texas Everbearing Fig,Ficus carica,Fig,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/texas-everbearing-fig/,site-capture-2026-06-21
Texas Mountain Laurel,Sophora secundiflora,Laurel,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/texas-mountain-laurel/,site-capture-2026-06-21
Texas Red Oak,Quercus buckleyi,Oak,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/texas-red-oak/,site-capture-2026-06-21
Texas Redbud,Cercis canadensis var. texensis,Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/texas-redbud/,site-capture-2026-06-21
Thornless Cactus,Opuntia ellisiana,Cactus,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/thornless-cactus/,site-capture-2026-06-21
Thunderstruck Coral Boom Crape Myrtle,Lagerstroemia x 'JM5' PPAF,Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/thunderstruck-coral-bloom-crape-myrtle/,site-capture-2026-06-21
Thunderstruck Ruby Crape Myrtle,Lagerstroemia x 'JM7',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/thunderstruck-ruby-crape-myrtle/,site-capture-2026-06-21
Tonto Crape Myrtle,Lagerstroemia indica 'Tonto',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/tonto-crape-myrtle/,site-capture-2026-06-21
Traveller Redbud,Cercis canadensis var. texensis,Redbud,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/traveller-redbud/,site-capture-2026-06-21
Tuscarora Crape Myrtle,Lagerstroemia indica Tuscarora,Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/tuscarora-crape-myrtle/,site-capture-2026-06-21
Tuskegee Crape Myrtle,Lagerstroemia indica 'Tuskegee',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/tuskegee-crape-myrtle/,site-capture-2026-06-21
Twilight Crape Myrtle,Lagerstroemia indica 'Twilight',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/twilight-crape-myrtle/,site-capture-2026-06-21
Victor Crape Myrtle,Lagerstroemia indica 'Victor',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/victor-crape-myrtle/,site-capture-2026-06-21
Wax Myrtle,Myrica cerifera,Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/wax-myrtle/,site-capture-2026-06-21
Weeping Willow,Salix babylonica,Willow,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/weeping-willow/,site-capture-2026-06-21
Zuni Crape Myrtle,Lagerstroemia indica 'Zuni',Crape Myrtle,NOT_FETCHED_403,NOT_FETCHED_403,NOT_FETCHED_403,https://lawnstrees.com/product/zuni-crape-myrtle/,site-capture-2026-06-21
